chrom	pos	type	start_ci	end_ci	nr_events_in_data	p_value	genes
chr1	40602766.30890394	OG	40434842	40770690	237.21635568982447	0.0003661172344304031	['MFSD2A', 'CAP1', 'PPT1', 'RLF', 'RNU6-1237P', 'TMCO2', 'ZMPSTE24-DT', 'ZMPSTE24', 'COL9A2']
chr1	151673454.48821107	OG	151549751	151797157	63.935142298399384	0.0003661172344304031	['SNORA58', 'TUFT1', 'SNX27', 'RNU6-1062P', 'CELF3', 'AL589765.1', 'RIIAD1', 'RNU6-662P', 'MRPL9', 'OAZ3', 'TDRKH', 'TDRKH-AS1', 'LINGO4', 'RORC']
chr1	6058900.965025266	TSG	5758281	6359520	85.2591564972467	0.0003661172344304031	['NPHP4', 'KCNAB2', 'CHD5', 'RPL22', 'RNF207-AS1', 'RNF207', 'ICMT', 'ICMT-DT', 'HES3', 'GPR153', 'ACOT7']
chr1	213180185.94723126	TSG	212599175	213761196	57.98513559187031	0.0003661172344304031	['NENF', 'LINC02771', 'LINC01740', 'RP11-61J19.4', 'ATF3', 'RN7SL512P', 'GARIN4', 'LINC02773', 'BATF3', 'RNU6-423P', 'NSL1', 'TATDN3', 'SPATA45', 'FLVCR1-DT', 'FLVCR1', 'VASH2', 'ANGEL2', 'RPS6KC1']
chr1	204453040.31547517	OG	204393518	204512561	140.89964938639898	0.0003661172344304031	['PPP1R15B-AS1', 'PIK3C2B', 'MDM4']
chr1	26884920.87221741	TSG	26780388	26989453	145.3695349593481	0.0003661172344304031	['DHDDS', 'DHDDS-AS1', 'HMGN2', 'RPS6KA1', 'RN7SL679P']
chr1	246297495.22672573	TSG	246237973	246357016	63.074441407339464	0.0003661172344304031	['SMYD3', 'SMYD3-AS1', 'RNU6-1283P']
chr1	115213577.50156634	TSG	114725107	115702047	65.45843397429417	0.0003661172344304031	['SNORA58', 'TRIM33', 'BCAS2', 'DENND2C', 'AMPD1', 'RN7SL432P', 'NRAS', 'CSDE1', 'SIKE1', 'SYCP1', 'TSHB', 'TSPAN2', 'LINC01765']
chr1	161001300.06566384	OG	160914012	161088587	126.36244614365722	0.0003661172344304031	['ITLN2', 'F11R', 'TSTD1', 'USF1', 'ARHGAP30', 'AL591806.1', 'NECTIN4', 'NECTIN4-AS1', 'KLHDC9', 'PFDN2', 'NIT1']
chr1	155885437.08991778	OG	155736872	156034001	55.59818943614734	0.0019295367760521244	['GON4L', 'SYT11', 'RNU4-19P', 'RIT1', 'KHDC4', 'RXFP4', 'ARHGEF2', 'ARHGEF2-AS2', 'ARHGEF2-AS1', 'SSR2', 'UBQLN4', 'LAMTOR2', 'RAB25']
chr1	234963358.89490515	OG	234903837	235022880	68.63327696512225	0.0003661172344304031	['RNY4P16']
chr1	93191252.89324404	TSG	93088471	93294034	64.10322659634386	0.0003661172344304031	['SNORA58', 'EVI5', 'RNU4-59P']
chr1	193074329.10736427	TSG	192981787	193166870	33.611363373189654	0.023557845726762335	['UCHL5', 'RO60', 'GLRX2', 'CDC73', 'B3GALT2']
chr1	51277096.92453271	TSG	51217575	51336618	58.32237735650862	0.000923183543714594	['FAF1']
chr1	107550792.92385693	OG	106869941	108231644	39.17203713616845	0.014318345324241947	['SNORA58', 'LINC01661', 'PRMT6', 'NTNG1', 'VAV3']
chr1	8175094.028786039	TSG	7856438	8493750	74.76448195619638	0.0003661172344304031	['PER3', 'UTS2', 'TNFRSF9', 'PARK7', 'ERRFI1', 'ERRFI1-DT', 'LINC01714', 'RNU1-7P', 'RN7SL729P', 'RNU6-991P', 'SLC45A1', 'RERE', 'RERE-AS1']
chr1	150656646.2956458	OG	150571677	150741614	155.7970417438739	0.0003661172344304031	['SNORA58', 'ENSA', 'GOLPH3L', 'HORMAD1', 'RNU6-1042P', 'CTSS']
chr1	157796937.78061077	TSG	157555762	158038113	37.84080652411578	0.013183340756833407	['FCRL4', 'FCRL3', 'FCRL2', 'FCRL1', 'CD5L', 'KIRREL1', 'KIRREL1-IT1']
chr1	32004083.55114723	OG	31805355	32202811	58.922332121732595	0.0026247375262473754	['ZCCHC17', 'FABP3', 'SERINC2', 'AC114494.1', 'RNU6-40P', 'LINC01226', 'RP11-439L8.3', 'TINAGL1', 'HCRTR1', 'PEF1', 'PEF1-AS1', 'COL16A1', 'ADGRB2']
chr1	172048694.6511976	OG	171732922	172364466	77.33072705538302	0.0003661172344304031	['METTL13', 'DNM3', 'DNM3-IT1', 'DNM3OS', 'MIR214', 'MIR199A2', 'RNU6-157P', 'PIGC']
chr1	154998149.20676848	OG	154839176	155157122	59.01953603778662	0.000923183543714594	['KCNN3', 'PMVK', 'PBXIP1', 'PYGO2', 'SHC1', 'CKS1B', 'FLAD1', 'LENEP', 'ZBTB7B', 'DCST2', 'DCST1', 'DCST1-AS1', 'ADAM15', 'EFNA4', 'EFNA4-EFNA3', 'EFNA3', 'EFNA1', 'SLC50A1', 'DPM3', 'KRTCAP2', 'TRIM46']
chr1	10906899.389829539	OG	10824978	10988820	56.6259601669879	0.0019295367760521244	['CASZ1']
chr1	201998415.02803853	OG	201938893	202057936	71.2422617060488	0.0006641196345481731	['TIMM17A', 'RNPEP', 'ELF3-AS1', 'ELF3']
chr1	62199863.807250015	OG	61572511	62827215	33.902083026029715	0.02524869464273085	['SNORA58', 'NFIA', 'NFIA-AS1', 'TM2D1', 'PATJ-DT', 'PATJ', 'RNU6-414P', 'RNU6-1177P', 'RN7SL180P', 'L1TD1', 'KANK4', 'RNU6-371P']
chr1	210663017.68044168	TSG	210418224	210907810	50.43218961538548	0.012646735326467354	['SERTAD4', 'HHAT', 'RNU5A-8P', 'KCNH1']
chr1	46837385.4370162	OG	46707150	46967619	85.91419239782823	0.0003661172344304031	['RAD54L', 'LRRC41', 'UQCRH', 'NSUN4', 'FAAH', 'LINC01398', 'DMBX1']
chr1	24812178.30566383	OG	24603396	25020959	27.276208623534767	0.042963488886010724	['GRHL3', 'GRHL3-AS1', 'STPG1', 'NIPAL3', 'RCAN3AS', 'RCAN3', 'RN7SL857P', 'NCMAP-DT', 'NCMAP', 'SRRM1']
chr1	14900897.809498336	TSG	14711801	15089993	50.81180259647866	0.006178228331013052	['KAZN', 'KAZN-AS1']
chr1	153637240.14131948	OG	153540304	153734176	44.03901155470295	0.014476885644768856	['SNORA58', 'S100A2', 'S100A16', 'S100A14', 'S100A13', 'S100A1', 'CHTOP', 'SNAPIN', 'ILF2', 'NPR1', 'RN7SL372P', 'INTS3']
chr2	141912275.57206666	TSG	141852753	141971797	371.4734199329384	0.0003661172344304031	['LRP1B', 'RNU6-904P']
chr2	191293501.1766925	OG	191054681	191532320	78.52612851545886	0.0003661172344304031	['C2orf88', 'HIBCH', 'INPP1', 'MFSD6', 'NEMP2', 'NEMP2-DT', 'RN7SKP179', 'NAB1']
